,Position
2017-10-04 14:22:05.108300,STATE3
2017-10-04 14:22:28.908000,STATE4a
2017-10-04 14:22:29.508000,STATE4b
2017-10-04 14:22:30.108000,STATE1
2017-10-04 14:22:53.907500,STATE2a
2017-10-04 14:22:54.507700,STATE2b
2017-10-04 14:22:55.108000,STATE3
2017-10-04 14:23:18.907900,STATE4a
2017-10-04 14:23:19.507399,STATE4b
2017-10-04 14:23:20.107700,STATE1
2017-10-04 14:23:43.907900,STATE2a
2017-10-04 14:23:44.507499,STATE2b
2017-10-04 14:23:45.107400,STATE3
2017-10-04 14:24:08.907600,STATE4a
2017-10-04 14:24:09.508000,STATE4b
2017-10-04 14:24:10.108100,STATE1
2017-10-04 14:24:33.908000,STATE2a
2017-10-04 14:24:34.507700,STATE2b
2017-10-04 14:24:35.107300,STATE3
2017-10-04 14:24:58.907800,STATE4a
2017-10-04 14:24:59.507900,STATE4b
2017-10-04 14:25:00.108000,STATE1
2017-10-04 14:25:23.907400,STATE2a
2017-10-04 14:25:24.507300,STATE2b
2017-10-04 14:25:25.108000,STATE3
2017-10-04 14:25:48.908200,STATE4a
2017-10-04 14:25:49.507499,STATE4b
2017-10-04 14:25:50.108000,STATE1
2017-10-04 14:26:13.907900,STATE2a
2017-10-04 14:26:14.508100,STATE2b
2017-10-04 14:26:15.107600,STATE3
2017-10-04 14:26:38.907700,STATE4a
2017-10-04 14:26:39.507600,STATE4b
2017-10-04 14:26:40.107800,STATE1
2017-10-04 14:27:03.908100,STATE2a
2017-10-04 14:27:04.508399,STATE2b
2017-10-04 14:27:05.108200,STATE3
2017-10-04 14:27:28.907500,STATE4a
2017-10-04 14:27:29.508000,STATE4b
2017-10-04 14:27:30.108100,STATE1
2017-10-04 14:27:53.907400,STATE2a
2017-10-04 14:27:54.507399,STATE2b
2017-10-04 14:27:55.107600,STATE3
2017-10-04 14:28:18.907300,STATE4a
2017-10-04 14:28:19.507499,STATE4b
2017-10-04 14:28:20.108000,STATE1
2017-10-04 14:28:43.907300,STATE2a
2017-10-04 14:28:44.507499,STATE2b
2017-10-04 14:28:45.107300,STATE3
2017-10-04 14:29:08.908900,STATE4a
2017-10-04 14:29:09.507499,STATE4b
2017-10-04 14:29:10.108200,STATE1
2017-10-04 14:29:33.907500,STATE2a
2017-10-04 14:29:34.508200,STATE2b
2017-10-04 14:29:35.108000,STATE3
2017-10-04 14:29:58.908100,STATE4a
2017-10-04 14:29:59.508200,STATE4b
2017-10-04 14:30:00.107400,STATE1
2017-10-04 14:30:23.907300,STATE2a
2017-10-04 14:30:24.508100,STATE2b
2017-10-04 14:30:25.108200,STATE3
2017-10-04 14:30:48.907900,STATE4a
2017-10-04 14:30:49.507399,STATE4b
2017-10-04 14:30:50.107800,STATE1
2017-10-04 14:31:13.907300,STATE2a
2017-10-04 14:31:14.508000,STATE2b
2017-10-04 14:31:15.107300,STATE3
2017-10-04 14:31:38.907700,STATE4a
2017-10-04 14:31:39.507700,STATE4b
2017-10-04 14:31:40.107400,STATE1
2017-10-04 14:32:03.908100,STATE2a
2017-10-04 14:32:04.507700,STATE2b
2017-10-04 14:32:05.107400,STATE3
2017-10-04 14:32:28.908200,STATE4a
2017-10-04 14:32:29.507399,STATE4b
2017-10-04 14:32:30.107700,STATE1
2017-10-04 14:32:53.907900,STATE2a
2017-10-04 14:32:54.507200,STATE2b
2017-10-04 14:32:55.107300,STATE3
2017-10-04 14:33:18.908000,STATE4a
2017-10-04 14:33:19.507800,STATE4b
2017-10-04 14:33:20.107900,STATE1
2017-10-04 14:33:43.908000,STATE2a
2017-10-04 14:33:44.507000,STATE2b
2017-10-04 14:33:45.107200,STATE3
2017-10-04 14:34:08.907200,STATE4a
2017-10-04 14:34:09.506800,STATE4b
2017-10-04 14:34:10.106800,STATE1
2017-10-04 14:34:33.907500,STATE2a
2017-10-04 14:34:34.506600,STATE2b
2017-10-04 14:34:35.107600,STATE3
2017-10-04 14:34:58.907100,STATE4a
2017-10-04 14:34:59.506600,STATE4b
2017-10-04 14:35:00.106400,STATE1
2017-10-04 14:35:23.907100,STATE2a
2017-10-04 14:35:24.506900,STATE2b
2017-10-04 14:35:25.106400,STATE3
2017-10-04 14:35:48.907100,STATE4a
2017-10-04 14:35:49.507000,STATE4b
2017-10-04 14:35:50.107000,STATE1
2017-10-04 14:36:13.906500,STATE2a
2017-10-04 14:36:14.506600,STATE2b
2017-10-04 14:36:15.106700,STATE3
2017-10-04 14:36:38.906100,STATE4a
2017-10-04 14:36:39.506200,STATE4b
2017-10-04 14:36:40.105900,STATE1
2017-10-04 14:37:03.905900,STATE2a
2017-10-04 14:37:04.505800,STATE2b
2017-10-04 14:37:05.106000,STATE3
2017-10-04 14:37:28.905700,STATE4a
2017-10-04 14:37:29.506300,STATE4b
2017-10-04 14:37:30.106400,STATE1
2017-10-04 14:37:53.905500,STATE2a
2017-10-04 14:37:54.506100,STATE2b
2017-10-04 14:37:55.106100,STATE3
2017-10-04 14:38:18.905600,STATE4a
2017-10-04 14:38:19.505700,STATE4b
2017-10-04 14:38:20.106000,STATE1
2017-10-04 14:38:43.905400,STATE2a
2017-10-04 14:38:44.506200,STATE2b
2017-10-04 14:38:45.106000,STATE3
2017-10-04 14:39:08.906000,STATE4a
2017-10-04 14:39:09.505700,STATE4b
2017-10-04 14:39:10.105500,STATE1
2017-10-04 14:39:33.905600,STATE2a
2017-10-04 14:39:34.505900,STATE2b
2017-10-04 14:39:35.105900,STATE3
2017-10-04 14:39:58.905600,STATE4a
2017-10-04 14:39:59.506100,STATE4b
2017-10-04 14:40:00.105800,STATE1
2017-10-04 14:40:23.905700,STATE2a
2017-10-04 14:40:24.505900,STATE2b
2017-10-04 14:40:25.105900,STATE3
2017-10-04 14:40:48.905700,STATE4a
2017-10-04 14:40:49.505499,STATE4b
2017-10-04 14:40:50.105700,STATE1
2017-10-04 14:41:13.905600,STATE2a
2017-10-04 14:41:14.506000,STATE2b
2017-10-04 14:41:15.105600,STATE3
2017-10-04 14:41:38.905900,STATE4a
2017-10-04 14:41:39.505600,STATE4b
2017-10-04 14:41:40.106300,STATE1
2017-10-04 14:42:03.906200,STATE2a
2017-10-04 14:42:04.505700,STATE2b
2017-10-04 14:42:05.106100,STATE3
2017-10-04 14:42:28.906100,STATE4a
2017-10-04 14:42:29.505499,STATE4b
2017-10-04 14:42:30.105500,STATE1
2017-10-04 14:42:53.905500,STATE2a
2017-10-04 14:42:54.505700,STATE2b
2017-10-04 14:42:55.106100,STATE3
2017-10-04 14:43:18.905500,STATE4a
2017-10-04 14:43:19.505800,STATE4b
2017-10-04 14:43:20.106100,STATE1
2017-10-04 14:43:43.905700,STATE2a
2017-10-04 14:43:44.505800,STATE2b
2017-10-04 14:43:45.106200,STATE3
2017-10-04 14:44:08.906100,STATE4a
2017-10-04 14:44:09.505700,STATE4b
2017-10-04 14:44:10.106400,STATE1
2017-10-04 14:44:33.905600,STATE2a
2017-10-04 14:44:34.505499,STATE2b
2017-10-04 14:44:35.106100,STATE3
2017-10-04 14:44:58.905600,STATE4a
2017-10-04 14:44:59.505499,STATE4b
2017-10-04 14:45:00.105700,STATE1
2017-10-04 14:45:23.906000,STATE2a
2017-10-04 14:45:24.505900,STATE2b
2017-10-04 14:45:25.106200,STATE3
2017-10-04 14:45:48.906300,STATE4a
2017-10-04 14:45:49.505900,STATE4b
2017-10-04 14:45:50.105800,STATE1
2017-10-04 14:46:13.906600,STATE2a
2017-10-04 14:46:14.505700,STATE2b
2017-10-04 14:46:15.105500,STATE3
2017-10-04 14:46:38.905700,STATE4a
2017-10-04 14:46:39.505900,STATE4b
2017-10-04 14:46:40.105600,STATE1
2017-10-04 14:47:03.906100,STATE2a
2017-10-04 14:47:04.506100,STATE2b
2017-10-04 14:47:05.105800,STATE3
2017-10-04 14:47:28.906500,STATE4a
2017-10-04 14:47:29.505700,STATE4b
2017-10-04 14:47:30.106300,STATE1
2017-10-04 14:47:53.905500,STATE2a
2017-10-04 14:47:54.505800,STATE2b
2017-10-04 14:47:55.105500,STATE3
2017-10-04 14:48:18.906200,STATE4a
2017-10-04 14:48:19.505700,STATE4b
2017-10-04 14:48:20.106400,STATE1
2017-10-04 14:48:43.905900,STATE2a
2017-10-04 14:48:44.506399,STATE2b
2017-10-04 14:48:45.105500,STATE3
2017-10-04 14:49:08.905900,STATE4a
2017-10-04 14:49:09.505900,STATE4b
2017-10-04 14:49:10.106000,STATE1
2017-10-04 14:49:33.906300,STATE2a
2017-10-04 14:49:34.506100,STATE2b
2017-10-04 14:49:35.106400,STATE3
2017-10-04 14:49:58.905500,STATE4a
2017-10-04 14:49:59.505499,STATE4b
2017-10-04 14:50:00.106000,STATE1
2017-10-04 14:50:23.905700,STATE2a
2017-10-04 14:50:24.505700,STATE2b
2017-10-04 14:50:25.106000,STATE3
2017-10-04 14:50:48.905600,STATE4a
2017-10-04 14:50:49.506200,STATE4b
2017-10-04 14:50:50.105800,STATE1
2017-10-04 14:51:13.905600,STATE2a
2017-10-04 14:51:14.506499,STATE2b
2017-10-04 14:51:15.105500,STATE3
2017-10-04 14:51:28.906000,STATE4a
2017-10-04 14:51:29.506200,STATE4b
2017-10-04 14:51:30.106400,STATE1
2017-10-04 14:51:43.906400,STATE2a
2017-10-04 14:51:44.506100,STATE2b
2017-10-04 14:51:45.106300,STATE3
2017-10-04 14:51:58.906100,STATE4a
2017-10-04 14:51:59.505499,STATE4b
2017-10-04 14:52:00.105900,STATE1
2017-10-04 14:52:13.905800,STATE2a
2017-10-04 14:52:14.505600,STATE2b
2017-10-04 14:52:15.105500,STATE3
2017-10-04 14:52:28.906100,STATE4a
2017-10-04 14:52:29.505900,STATE4b
2017-10-04 14:52:30.106200,STATE1
2017-10-04 14:52:43.905700,STATE2a
2017-10-04 14:52:44.505800,STATE2b
2017-10-04 14:52:45.105700,STATE3
2017-10-04 14:52:58.905500,STATE4a
2017-10-04 14:52:59.505399,STATE4b
2017-10-04 14:53:00.105800,STATE1
2017-10-04 14:53:13.905900,STATE2a
2017-10-04 14:53:14.505600,STATE2b
2017-10-04 14:53:15.105300,STATE3
2017-10-04 14:53:28.905600,STATE4a
2017-10-04 14:53:29.505499,STATE4b
2017-10-04 14:53:30.105700,STATE1
2017-10-04 14:53:43.905300,STATE2a
2017-10-04 14:53:44.505600,STATE2b
2017-10-04 14:53:45.105100,STATE3
2017-10-04 14:53:58.905800,STATE4a
2017-10-04 14:53:59.505900,STATE4b
2017-10-04 14:54:00.105000,STATE1
2017-10-04 14:54:13.905500,STATE2a
2017-10-04 14:54:14.505800,STATE2b
2017-10-04 14:54:15.105700,STATE3
2017-10-04 14:54:28.905100,STATE4a
2017-10-04 14:54:29.504800,STATE4b
2017-10-04 14:54:30.104900,STATE1
2017-10-04 14:54:43.904900,STATE2a
2017-10-04 14:54:44.504700,STATE2b
2017-10-04 14:54:45.105300,STATE3
2017-10-04 14:54:58.905200,STATE4a
2017-10-04 14:54:59.505100,STATE4b
2017-10-04 14:55:00.105600,STATE1
2017-10-04 14:55:13.905500,STATE2a
2017-10-04 14:55:14.504700,STATE2b
2017-10-04 14:55:15.104700,STATE3
2017-10-04 14:55:28.904600,STATE4a
2017-10-04 14:55:29.504600,STATE4b
2017-10-04 14:55:30.104700,STATE1
2017-10-04 14:55:43.904600,STATE2a
2017-10-04 14:55:44.504600,STATE2b
2017-10-04 14:55:45.105300,STATE3
2017-10-04 14:55:58.905100,STATE4a
2017-10-04 14:55:59.505200,STATE4b
2017-10-04 14:56:00.104400,STATE1
2017-10-04 14:56:13.904400,STATE2a
2017-10-04 14:56:14.504600,STATE2b
2017-10-04 14:56:15.105000,STATE3
2017-10-04 14:56:28.904200,STATE4a
2017-10-04 14:56:29.505000,STATE4b
2017-10-04 14:56:30.104300,STATE1
2017-10-04 14:56:43.904400,STATE2a
2017-10-04 14:56:44.504600,STATE2b
2017-10-04 14:56:45.104700,STATE3
2017-10-04 14:56:58.904500,STATE4a
2017-10-04 14:56:59.504700,STATE4b
2017-10-04 14:57:00.104500,STATE1
2017-10-04 14:57:13.903900,STATE2a
2017-10-04 14:57:14.503800,STATE2b
2017-10-04 14:57:15.104600,STATE3
2017-10-04 14:57:28.904000,STATE4a
2017-10-04 14:57:29.504399,STATE4b
2017-10-04 14:57:30.104200,STATE1
2017-10-04 14:57:43.904200,STATE2a
2017-10-04 14:57:44.504600,STATE2b
2017-10-04 14:57:45.103800,STATE3
2017-10-04 14:57:58.904700,STATE4a
2017-10-04 14:57:59.504600,STATE4b
2017-10-04 14:58:00.103700,STATE1
2017-10-04 14:58:13.904000,STATE2a
2017-10-04 14:58:14.504499,STATE2b
2017-10-04 14:58:15.103800,STATE3
2017-10-04 14:58:28.903700,STATE4a
2017-10-04 14:58:29.503900,STATE4b
2017-10-04 14:58:30.104300,STATE1
2017-10-04 14:58:43.904500,STATE2a
2017-10-04 14:58:44.504000,STATE2b
2017-10-04 14:58:45.104000,STATE3
2017-10-04 14:58:58.904000,STATE4a
2017-10-04 14:58:59.504399,STATE4b
2017-10-04 14:59:00.104400,STATE1
2017-10-04 14:59:13.904400,STATE2a
2017-10-04 14:59:14.504299,STATE2b
2017-10-04 14:59:15.104400,STATE3
2017-10-04 14:59:28.903700,STATE4a
2017-10-04 14:59:29.503700,STATE4b
2017-10-04 14:59:30.103900,STATE1
2017-10-04 14:59:43.904500,STATE2a
2017-10-04 14:59:44.504100,STATE2b
2017-10-04 14:59:45.104300,STATE3
2017-10-04 14:59:58.903900,STATE4a
2017-10-04 14:59:59.504000,STATE4b
2017-10-04 15:00:00.103900,STATE1
2017-10-04 15:00:13.904000,STATE2a
2017-10-04 15:00:14.504200,STATE2b
2017-10-04 15:00:15.104100,STATE3
2017-10-04 15:00:28.903800,STATE4a
2017-10-04 15:00:29.504100,STATE4b
2017-10-04 15:00:30.104200,STATE1
2017-10-04 15:00:43.903700,STATE2a
2017-10-04 15:00:44.503800,STATE2b
2017-10-04 15:00:45.103900,STATE3
2017-10-04 15:00:58.903800,STATE4a
2017-10-04 15:00:59.504600,STATE4b
2017-10-04 15:01:00.104300,STATE1
2017-10-04 15:01:13.904500,STATE2a
2017-10-04 15:01:14.504499,STATE2b
2017-10-04 15:01:15.103700,STATE3
2017-10-04 15:01:28.903700,STATE4a
2017-10-04 15:01:29.504399,STATE4b
2017-10-04 15:01:30.104400,STATE1
2017-10-04 15:01:43.903900,STATE2a
2017-10-04 15:01:44.503600,STATE2b
2017-10-04 15:01:45.103700,STATE3
2017-10-04 15:01:58.904400,STATE4a
2017-10-04 15:01:59.503800,STATE4b
2017-10-04 15:02:00.104000,STATE1
2017-10-04 15:02:13.904200,STATE2a
2017-10-04 15:02:14.504299,STATE2b
2017-10-04 15:02:15.104000,STATE3
2017-10-04 15:02:28.903700,STATE4a
2017-10-04 15:02:29.503900,STATE4b
2017-10-04 15:02:30.103700,STATE1
2017-10-04 15:02:43.904200,STATE2a
2017-10-04 15:02:44.504499,STATE2b
2017-10-04 15:02:45.103800,STATE3
2017-10-04 15:02:58.903700,STATE4a
2017-10-04 15:02:59.504000,STATE4b
2017-10-04 15:03:00.104500,STATE1
2017-10-04 15:03:13.904400,STATE2a
2017-10-04 15:03:14.504200,STATE2b
2017-10-04 15:03:15.103700,STATE3
2017-10-04 15:03:28.903900,STATE4a
2017-10-04 15:03:29.504499,STATE4b
2017-10-04 15:03:30.104500,STATE1
2017-10-04 15:03:43.904100,STATE2a
2017-10-04 15:03:44.504600,STATE2b
2017-10-04 15:03:45.104300,STATE3
2017-10-04 15:03:58.904100,STATE4a
2017-10-04 15:03:59.503900,STATE4b
2017-10-04 15:04:00.104500,STATE1
2017-10-04 15:04:13.903700,STATE2a
2017-10-04 15:04:14.504299,STATE2b
2017-10-04 15:04:15.104700,STATE3
2017-10-04 15:04:28.904400,STATE4a
2017-10-04 15:04:29.504600,STATE4b
2017-10-04 15:04:30.103900,STATE1
2017-10-04 15:04:43.904600,STATE2a
2017-10-04 15:04:44.503800,STATE2b
2017-10-04 15:04:45.104600,STATE3
2017-10-04 15:04:58.904600,STATE4a
2017-10-04 15:04:59.503700,STATE4b
2017-10-04 15:05:00.104000,STATE1
2017-10-04 15:05:13.904600,STATE2a
2017-10-04 15:05:14.503600,STATE2b
2017-10-04 15:05:15.103700,STATE3
2017-10-04 15:05:28.904200,STATE4a
2017-10-04 15:05:29.504299,STATE4b
2017-10-04 15:05:30.104200,STATE1
2017-10-04 15:05:43.904300,STATE2a
2017-10-04 15:05:44.503700,STATE2b
2017-10-04 15:05:45.104600,STATE3
2017-10-04 15:05:58.904300,STATE4a
2017-10-04 15:05:59.503800,STATE4b
2017-10-04 15:06:00.104100,STATE1
2017-10-04 15:06:13.904600,STATE2a
2017-10-04 15:06:14.504100,STATE2b
2017-10-04 15:06:15.103700,STATE3
2017-10-04 15:06:28.903800,STATE4a
2017-10-04 15:06:29.503700,STATE4b
2017-10-04 15:06:30.103700,STATE1
2017-10-04 15:06:43.904300,STATE2a
2017-10-04 15:06:44.503700,STATE2b
2017-10-04 15:06:45.104200,STATE3
2017-10-04 15:06:58.904500,STATE4a
2017-10-04 15:06:59.504499,STATE4b
2017-10-04 15:07:00.104200,STATE1
2017-10-04 15:07:13.904500,STATE2a
2017-10-04 15:07:14.503700,STATE2b
2017-10-04 15:07:15.103700,STATE3
2017-10-04 15:07:28.904200,STATE4a
2017-10-04 15:07:29.503700,STATE4b
2017-10-04 15:07:30.103700,STATE1
2017-10-04 15:07:43.903700,STATE2a
2017-10-04 15:07:44.504399,STATE2b
2017-10-04 15:07:45.103700,STATE3
2017-10-04 15:07:58.904200,STATE4a
2017-10-04 15:07:59.504600,STATE4b
2017-10-04 15:08:00.104200,STATE1
2017-10-04 15:08:13.904000,STATE2a
2017-10-04 15:08:14.504100,STATE2b
2017-10-04 15:08:15.104000,STATE3
2017-10-04 15:08:28.903800,STATE4a
2017-10-04 15:08:29.504000,STATE4b
2017-10-04 15:08:30.103400,STATE1
2017-10-04 15:08:43.903500,STATE2a
2017-10-04 15:08:44.503299,STATE2b
2017-10-04 15:08:45.103900,STATE3
2017-10-04 15:08:58.903800,STATE4a
2017-10-04 15:08:59.503299,STATE4b
2017-10-04 15:09:00.103700,STATE1
2017-10-04 15:09:13.904400,STATE2a
2017-10-04 15:09:14.503100,STATE2b
2017-10-04 15:09:15.104000,STATE3
2017-10-04 15:09:28.903700,STATE4a
2017-10-04 15:09:29.503600,STATE4b
2017-10-04 15:09:30.103900,STATE1
2017-10-04 15:09:43.902900,STATE2a
2017-10-04 15:09:44.503000,STATE2b
2017-10-04 15:09:45.103000,STATE3
2017-10-04 15:09:58.903500,STATE4a
2017-10-04 15:09:59.503200,STATE4b
2017-10-04 15:10:00.103400,STATE1
2017-10-04 15:10:13.903900,STATE2a
2017-10-04 15:10:14.503600,STATE2b
2017-10-04 15:10:15.103300,STATE3
2017-10-04 15:10:28.903200,STATE4a
2017-10-04 15:10:29.502800,STATE4b
2017-10-04 15:10:30.103200,STATE1
2017-10-04 15:10:43.903400,STATE2a
2017-10-04 15:10:44.503499,STATE2b
2017-10-04 15:10:45.103400,STATE3
2017-10-04 15:10:58.903100,STATE4a
2017-10-04 15:10:59.502600,STATE4b
2017-10-04 15:11:00.103600,STATE1
2017-10-04 15:11:13.902900,STATE2a
2017-10-04 15:11:14.502399,STATE2b
2017-10-04 15:11:15.102900,STATE3
2017-10-04 15:11:28.902900,STATE4a
2017-10-04 15:11:29.503000,STATE4b
2017-10-04 15:11:30.103900,STATE1
2017-10-04 15:11:43.904600,STATE2a
2017-10-04 15:11:44.504299,STATE2b
2017-10-04 15:11:45.103300,STATE3
2017-10-04 15:11:58.904200,STATE4a
2017-10-04 15:11:59.503100,STATE4b
2017-10-04 15:12:00.104000,STATE1
2017-10-04 15:12:13.903800,STATE2a
2017-10-04 15:12:14.504200,STATE2b
2017-10-04 15:12:15.103600,STATE3
2017-10-04 15:12:28.903600,STATE4a
2017-10-04 15:12:29.503800,STATE4b
2017-10-04 15:12:30.104000,STATE1
2017-10-04 15:12:43.903000,STATE2a
2017-10-04 15:12:44.504100,STATE2b
2017-10-04 15:12:45.103500,STATE3
2017-10-04 15:12:58.903400,STATE4a
2017-10-04 15:12:59.503600,STATE4b
2017-10-04 15:13:00.102900,STATE1
2017-10-04 15:13:13.903400,STATE2a
2017-10-04 15:13:14.503100,STATE2b
2017-10-04 15:13:15.103400,STATE3
2017-10-04 15:13:28.903400,STATE4a
2017-10-04 15:13:29.504100,STATE4b
2017-10-04 15:13:30.103900,STATE1
2017-10-04 15:13:43.904400,STATE2a
2017-10-04 15:13:44.503800,STATE2b
2017-10-04 15:13:45.104400,STATE3
2017-10-04 15:13:58.904800,STATE4a
2017-10-04 15:13:59.504499,STATE4b
2017-10-04 15:14:00.105400,STATE1
2017-10-04 15:14:13.904900,STATE2a
2017-10-04 15:14:14.504800,STATE2b
2017-10-04 15:14:15.104800,STATE3
2017-10-04 15:14:28.904900,STATE4a
2017-10-04 15:14:29.505499,STATE4b
2017-10-04 15:14:30.105600,STATE1
2017-10-04 15:14:43.905400,STATE2a
2017-10-04 15:14:44.504800,STATE2b
2017-10-04 15:14:45.104800,STATE3
2017-10-04 15:14:58.906000,STATE4a
2017-10-04 15:14:59.505700,STATE4b
2017-10-04 15:15:00.106100,STATE1
2017-10-04 15:15:13.904900,STATE2a
2017-10-04 15:15:14.504900,STATE2b
2017-10-04 15:15:15.105500,STATE3
2017-10-04 15:15:28.905000,STATE4a
2017-10-04 15:15:29.505399,STATE4b
2017-10-04 15:15:30.106900,STATE1
2017-10-04 15:15:43.907600,STATE2a
2017-10-04 15:15:44.507000,STATE2b
2017-10-04 15:15:45.107400,STATE3
2017-10-04 15:15:58.908200,STATE4a
2017-10-04 15:15:59.507100,STATE4b
2017-10-04 15:16:00.107400,STATE1
2017-10-04 15:16:13.907900,STATE2a
2017-10-04 15:16:14.507499,STATE2b
2017-10-04 15:16:15.107400,STATE3
2017-10-04 15:16:28.907400,STATE4a
2017-10-04 15:16:29.506900,STATE4b
2017-10-04 15:16:30.106800,STATE1
2017-10-04 15:16:43.907400,STATE2a
2017-10-04 15:16:44.507499,STATE2b
2017-10-04 15:16:45.107400,STATE3
2017-10-04 15:16:58.907500,STATE4a
2017-10-04 15:16:59.508000,STATE4b
2017-10-04 15:17:00.106800,STATE1
2017-10-04 15:17:13.908100,STATE2a
2017-10-04 15:17:14.507700,STATE2b
2017-10-04 15:17:15.107400,STATE3
2017-10-04 15:17:28.907500,STATE4a
2017-10-04 15:17:29.506800,STATE4b
2017-10-04 15:17:30.107400,STATE1
2017-10-04 15:17:43.906900,STATE2a
2017-10-04 15:17:44.507499,STATE2b
2017-10-04 15:17:45.107400,STATE3
2017-10-04 15:17:58.907400,STATE4a
2017-10-04 15:17:59.507499,STATE4b
2017-10-04 15:18:00.107300,STATE1
2017-10-04 15:18:13.908100,STATE2a
2017-10-04 15:18:14.507300,STATE2b
2017-10-04 15:18:15.107500,STATE3
2017-10-04 15:18:28.907600,STATE4a
2017-10-04 15:18:29.507600,STATE4b
2017-10-04 15:18:30.107100,STATE1
2017-10-04 15:18:43.907300,STATE2a
2017-10-04 15:18:44.507399,STATE2b
2017-10-04 15:18:45.106900,STATE3
2017-10-04 15:18:58.907800,STATE4a
2017-10-04 15:18:59.506900,STATE4b
2017-10-04 15:19:00.107400,STATE1
2017-10-04 15:19:13.907800,STATE2a
2017-10-04 15:19:14.507000,STATE2b
2017-10-04 15:19:15.107500,STATE3
2017-10-04 15:19:28.907000,STATE4a
2017-10-04 15:19:29.507000,STATE4b
2017-10-04 15:19:30.107900,STATE1
2017-10-04 15:19:43.907100,STATE2a
2017-10-04 15:19:44.507399,STATE2b
2017-10-04 15:19:45.107400,STATE3
2017-10-04 15:19:58.907100,STATE4a
2017-10-04 15:19:59.507300,STATE4b
2017-10-04 15:20:00.106800,STATE1
2017-10-04 15:20:13.907800,STATE2a
2017-10-04 15:20:14.507000,STATE2b
2017-10-04 15:20:15.107600,STATE3
2017-10-04 15:20:28.906900,STATE4a
2017-10-04 15:20:29.507900,STATE4b
2017-10-04 15:20:30.108400,STATE1
2017-10-04 15:20:43.909100,STATE2a
2017-10-04 15:20:44.507900,STATE2b
2017-10-04 15:20:45.108600,STATE3
2017-10-04 15:20:58.909100,STATE4a
2017-10-04 15:20:59.508000,STATE4b
2017-10-04 15:21:00.109700,STATE1
2017-10-04 15:21:13.908400,STATE2a
2017-10-04 15:21:14.508600,STATE2b
2017-10-04 15:21:15.108400,STATE3
2017-10-04 15:21:28.908500,STATE4a
2017-10-04 15:21:29.508600,STATE4b
2017-10-04 15:21:30.107800,STATE1
2017-10-04 15:21:43.909000,STATE2a
2017-10-04 15:21:44.507800,STATE2b
2017-10-04 15:21:45.108400,STATE3
2017-10-04 15:21:58.908400,STATE4a
2017-10-04 15:21:59.508499,STATE4b
2017-10-04 15:22:00.108900,STATE1
2017-10-04 15:22:13.909400,STATE2a
2017-10-04 15:22:14.509000,STATE2b
2017-10-04 15:22:15.108900,STATE3
2017-10-04 15:22:28.909100,STATE4a
2017-10-04 15:22:29.508900,STATE4b
2017-10-04 15:22:30.108900,STATE1
2017-10-04 15:22:43.909500,STATE2a
2017-10-04 15:22:44.509399,STATE2b
2017-10-04 15:22:45.109400,STATE3
2017-10-04 15:22:58.908900,STATE4a
2017-10-04 15:22:59.508800,STATE4b
2017-10-04 15:23:00.108800,STATE1
2017-10-04 15:23:13.908800,STATE2a
2017-10-04 15:23:14.509100,STATE2b
2017-10-04 15:23:15.109600,STATE3
2017-10-04 15:23:28.909100,STATE4a
2017-10-04 15:23:29.509499,STATE4b
2017-10-04 15:23:30.109400,STATE1
2017-10-04 15:23:43.909500,STATE2a
2017-10-04 15:23:44.509000,STATE2b
2017-10-04 15:23:45.109400,STATE3
2017-10-04 15:23:58.909500,STATE4a
2017-10-04 15:23:59.509600,STATE4b
2017-10-04 15:24:00.109500,STATE1
2017-10-04 15:24:13.908800,STATE2a
2017-10-04 15:24:14.509499,STATE2b
2017-10-04 15:24:15.109800,STATE3
2017-10-04 15:24:28.909600,STATE4a
2017-10-04 15:24:29.509499,STATE4b
2017-10-04 15:24:30.108900,STATE1
2017-10-04 15:24:43.908900,STATE2a
2017-10-04 15:24:44.509000,STATE2b
2017-10-04 15:24:45.109400,STATE3
2017-10-04 15:24:58.909500,STATE4a
2017-10-04 15:24:59.509800,STATE4b
2017-10-04 15:25:00.109900,STATE1
2017-10-04 15:25:13.909900,STATE2a
2017-10-04 15:25:14.509700,STATE2b
2017-10-04 15:25:15.109400,STATE3
2017-10-04 15:25:28.909000,STATE4a
2017-10-04 15:25:29.509499,STATE4b
2017-10-04 15:25:30.108800,STATE1
2017-10-04 15:25:43.908800,STATE2a
2017-10-04 15:25:44.509300,STATE2b
2017-10-04 15:25:45.109400,STATE3
2017-10-04 15:25:58.909400,STATE4a
2017-10-04 15:25:59.509700,STATE4b
2017-10-04 15:26:00.109900,STATE1
2017-10-04 15:26:13.910600,STATE2a
2017-10-04 15:26:14.510600,STATE2b
2017-10-04 15:26:15.110400,STATE3
2017-10-04 15:26:28.910700,STATE4a
2017-10-04 15:26:29.510399,STATE4b
2017-10-04 15:26:30.110500,STATE1
2017-10-04 15:26:43.910800,STATE2a
2017-10-04 15:26:44.510200,STATE2b
2017-10-04 15:26:45.110400,STATE3
2017-10-04 15:26:58.910800,STATE4a
2017-10-04 15:26:59.510000,STATE4b
2017-10-04 15:27:00.109900,STATE1
2017-10-04 15:27:13.911000,STATE2a
2017-10-04 15:27:14.510499,STATE2b
2017-10-04 15:27:15.110400,STATE3
2017-10-04 15:27:28.910600,STATE4a
2017-10-04 15:27:29.510600,STATE4b
2017-10-04 15:27:30.112000,STATE1
