,Position
2017-10-04 12:05:55.131100,STATE3
2017-10-04 12:07:03.930500,STATE4a
2017-10-04 12:07:04.531100,STATE4b
2017-10-04 12:07:05.131200,STATE1
2017-10-04 12:08:13.930300,STATE2a
2017-10-04 12:08:14.530600,STATE2b
2017-10-04 12:08:15.130300,STATE3
2017-10-04 12:09:23.930500,STATE4a
2017-10-04 12:09:24.530500,STATE4b
2017-10-04 12:09:25.129700,STATE1
2017-10-04 12:10:33.929900,STATE2a
2017-10-04 12:10:34.529800,STATE2b
2017-10-04 12:10:35.129399,STATE3
2017-10-04 12:11:43.929700,STATE4a
2017-10-04 12:11:44.529700,STATE4b
2017-10-04 12:11:45.129700,STATE1
2017-10-04 12:12:53.929000,STATE2a
2017-10-04 12:12:54.529900,STATE2b
2017-10-04 12:12:55.129800,STATE3
2017-10-04 12:14:03.929700,STATE4a
2017-10-04 12:14:04.529600,STATE4b
2017-10-04 12:14:05.129399,STATE1
2017-10-04 12:15:13.929100,STATE2a
2017-10-04 12:15:14.529200,STATE2b
2017-10-04 12:15:15.128899,STATE3
2017-10-04 12:16:23.929200,STATE4a
2017-10-04 12:16:24.529800,STATE4b
2017-10-04 12:16:25.128899,STATE1
2017-10-04 12:17:33.929100,STATE2a
2017-10-04 12:17:34.529700,STATE2b
2017-10-04 12:17:35.129000,STATE3
2017-10-04 12:18:43.929700,STATE4a
2017-10-04 12:18:44.529600,STATE4b
2017-10-04 12:18:45.128899,STATE1
2017-10-04 12:19:43.929800,STATE2a
2017-10-04 12:19:44.529200,STATE2b
2017-10-04 12:19:45.129500,STATE3
2017-10-04 12:20:43.929600,STATE4a
2017-10-04 12:20:44.529900,STATE4b
2017-10-04 12:20:45.129500,STATE1
2017-10-04 12:21:43.928800,STATE2a
2017-10-04 12:21:44.528900,STATE2b
2017-10-04 12:21:45.128700,STATE3
2017-10-04 12:22:43.928500,STATE4a
2017-10-04 12:22:44.528600,STATE4b
2017-10-04 12:22:45.129099,STATE1
2017-10-04 12:23:43.928700,STATE2a
2017-10-04 12:23:44.528600,STATE2b
2017-10-04 12:23:45.128099,STATE3
2017-10-04 12:24:43.928100,STATE4a
2017-10-04 12:24:44.528000,STATE4b
2017-10-04 12:24:45.128099,STATE1
2017-10-04 12:25:43.928100,STATE2a
2017-10-04 12:25:44.528100,STATE2b
2017-10-04 12:25:45.127200,STATE3
2017-10-04 12:26:43.927700,STATE4a
2017-10-04 12:26:44.527700,STATE4b
2017-10-04 12:26:45.127300,STATE1
2017-10-04 12:27:43.927600,STATE2a
2017-10-04 12:27:44.527300,STATE2b
2017-10-04 12:27:45.127200,STATE3
2017-10-04 12:28:43.928100,STATE4a
2017-10-04 12:28:44.527100,STATE4b
2017-10-04 12:28:45.127900,STATE1
2017-10-04 12:29:43.928100,STATE2a
2017-10-04 12:29:44.527900,STATE2b
2017-10-04 12:29:45.128000,STATE3
2017-10-04 12:30:43.928100,STATE4a
2017-10-04 12:30:44.527700,STATE4b
2017-10-04 12:30:45.127900,STATE1
2017-10-04 12:31:43.928000,STATE2a
2017-10-04 12:31:44.527900,STATE2b
2017-10-04 12:31:45.128000,STATE3
2017-10-04 12:32:43.927200,STATE4a
2017-10-04 12:32:44.527500,STATE4b
2017-10-04 12:32:45.127300,STATE1
2017-10-04 12:33:43.927700,STATE2a
2017-10-04 12:33:44.527700,STATE2b
2017-10-04 12:33:45.127800,STATE3
2017-10-04 12:34:43.927800,STATE4a
2017-10-04 12:34:44.527700,STATE4b
2017-10-04 12:34:45.127400,STATE1
2017-10-04 12:35:43.928000,STATE2a
2017-10-04 12:35:44.528100,STATE2b
2017-10-04 12:35:45.127900,STATE3
2017-10-04 12:36:43.928100,STATE4a
2017-10-04 12:36:44.527600,STATE4b
2017-10-04 12:36:45.127200,STATE1
2017-10-04 12:37:43.927400,STATE2a
2017-10-04 12:37:44.527300,STATE2b
2017-10-04 12:37:45.127500,STATE3
2017-10-04 12:38:43.928000,STATE4a
2017-10-04 12:38:44.527900,STATE4b
2017-10-04 12:38:45.127099,STATE1
2017-10-04 12:39:43.927300,STATE2a
2017-10-04 12:39:44.527100,STATE2b
2017-10-04 12:39:45.127900,STATE3
2017-10-04 12:40:43.928100,STATE4a
2017-10-04 12:40:44.528100,STATE4b
2017-10-04 12:40:45.127700,STATE1
2017-10-04 12:41:43.927100,STATE2a
2017-10-04 12:41:44.527200,STATE2b
2017-10-04 12:41:45.127099,STATE3
2017-10-04 12:42:43.927100,STATE4a
2017-10-04 12:42:44.527500,STATE4b
2017-10-04 12:42:45.127200,STATE1
2017-10-04 12:43:43.926800,STATE2a
2017-10-04 12:43:44.526900,STATE2b
2017-10-04 12:43:45.126200,STATE3
2017-10-04 12:44:43.926000,STATE4a
2017-10-04 12:44:44.526500,STATE4b
2017-10-04 12:44:45.126400,STATE1
2017-10-04 12:45:43.925500,STATE2a
2017-10-04 12:45:44.525700,STATE2b
2017-10-04 12:45:45.125599,STATE3
2017-10-04 12:46:43.925700,STATE4a
2017-10-04 12:46:44.526100,STATE4b
2017-10-04 12:46:45.125700,STATE1
2017-10-04 12:47:43.925700,STATE2a
2017-10-04 12:47:44.526200,STATE2b
2017-10-04 12:47:45.126000,STATE3
2017-10-04 12:48:43.925900,STATE4a
2017-10-04 12:48:44.525400,STATE4b
2017-10-04 12:48:45.125400,STATE1
2017-10-04 12:49:43.926000,STATE2a
2017-10-04 12:49:44.526000,STATE2b
